Geno,Loc,Year,Env,Block,y
G01,Loc01,Year1,Loc01_Year1,Blk1,15.44231882
G01,Loc01,Year1,Loc01_Year1,Blk2,13.78357625
G01,Loc01,Year1,Loc01_Year1,Blk3,14.02939394
G01,Loc01,Year2,Loc01_Year2,Blk1,14.26630553
G01,Loc01,Year2,Loc01_Year2,Blk2,13.62238838
G01,Loc01,Year2,Loc01_Year2,Blk3,13.19643015
G01,Loc01,Year3,Loc01_Year3,Blk1,13.14494453
G01,Loc01,Year3,Loc01_Year3,Blk2,12.77127802
G01,Loc01,Year3,Loc01_Year3,Blk3,14.98186495
G01,Loc01,Year4,Loc01_Year4,Blk1,15.19873986
G01,Loc01,Year4,Loc01_Year4,Blk2,10.117325
G01,Loc01,Year4,Loc01_Year4,Blk3,11.03648555
G01,Loc01,Year5,Loc01_Year5,Blk1,12.32039864
G01,Loc01,Year5,Loc01_Year5,Blk2,8.795771804
G01,Loc01,Year5,Loc01_Year5,Blk3,10.28978321
G02,Loc01,Year1,Loc01_Year1,Blk1,15.65684262
G02,Loc01,Year1,Loc01_Year1,Blk2,19.34178882
G02,Loc01,Year1,Loc01_Year1,Blk3,14.6394423
G02,Loc01,Year2,Loc01_Year2,Blk1,11.04595507
G02,Loc01,Year2,Loc01_Year2,Blk2,13.822212
G02,Loc01,Year2,Loc01_Year2,Blk3,12.90745279
G02,Loc01,Year3,Loc01_Year3,Blk1,10.53784815
G02,Loc01,Year3,Loc01_Year3,Blk2,15.25655633
G02,Loc01,Year3,Loc01_Year3,Blk3,11.94937749
G02,Loc01,Year4,Loc01_Year4,Blk1,13.15642421
G02,Loc01,Year4,Loc01_Year4,Blk2,11.06475202
G02,Loc01,Year4,Loc01_Year4,Blk3,14.1720371
G02,Loc01,Year5,Loc01_Year5,Blk1,9.481201758
G02,Loc01,Year5,Loc01_Year5,Blk2,12.82036677
G02,Loc01,Year5,Loc01_Year5,Blk3,7.496506123
G03,Loc01,Year1,Loc01_Year1,Blk1,18.01544892
G03,Loc01,Year1,Loc01_Year1,Blk2,14.56731302
G03,Loc01,Year1,Loc01_Year1,Blk3,16.31640809
G03,Loc01,Year2,Loc01_Year2,Blk1,16.64036341
G03,Loc01,Year2,Loc01_Year2,Blk2,13.97940938
G03,Loc01,Year2,Loc01_Year2,Blk3,20.56186159
G03,Loc01,Year3,Loc01_Year3,Blk1,13.26556561
G03,Loc01,Year3,Loc01_Year3,Blk2,11.41968978
G03,Loc01,Year3,Loc01_Year3,Blk3,11.00224468
G03,Loc01,Year4,Loc01_Year4,Blk1,9.879009896
G03,Loc01,Year4,Loc01_Year4,Blk2,13.16331257
G03,Loc01,Year4,Loc01_Year4,Blk3,7.696248881
G03,Loc01,Year5,Loc01_Year5,Blk1,13.98897315
G03,Loc01,Year5,Loc01_Year5,Blk2,11.02686191
G03,Loc01,Year5,Loc01_Year5,Blk3,9.892238742
G04,Loc01,Year1,Loc01_Year1,Blk1,13.26082909
G04,Loc01,Year1,Loc01_Year1,Blk2,17.11167661
G04,Loc01,Year1,Loc01_Year1,Blk3,14.97575004
G04,Loc01,Year2,Loc01_Year2,Blk1,13.49464065
G04,Loc01,Year2,Loc01_Year2,Blk2,16.80374692
G04,Loc01,Year2,Loc01_Year2,Blk3,14.54101346
G04,Loc01,Year3,Loc01_Year3,Blk1,14.69920226
G04,Loc01,Year3,Loc01_Year3,Blk2,13.35831995
G04,Loc01,Year3,Loc01_Year3,Blk3,18.35001388
G04,Loc01,Year4,Loc01_Year4,Blk1,14.08522592
G04,Loc01,Year4,Loc01_Year4,Blk2,11.44367348
G04,Loc01,Year4,Loc01_Year4,Blk3,12.96560596
G04,Loc01,Year5,Loc01_Year5,Blk1,12.46984796
G04,Loc01,Year5,Loc01_Year5,Blk2,9.777696179
G04,Loc01,Year5,Loc01_Year5,Blk3,12.08987647
G05,Loc01,Year1,Loc01_Year1,Blk1,18.8037547
G05,Loc01,Year1,Loc01_Year1,Blk2,17.44415481
G05,Loc01,Year1,Loc01_Year1,Blk3,17.39041607
G05,Loc01,Year2,Loc01_Year2,Blk1,17.15087069
G05,Loc01,Year2,Loc01_Year2,Blk2,15.57199285
G05,Loc01,Year2,Loc01_Year2,Blk3,15.00097785
G05,Loc01,Year3,Loc01_Year3,Blk1,13.51229201
G05,Loc01,Year3,Loc01_Year3,Blk2,10.94446316
G05,Loc01,Year3,Loc01_Year3,Blk3,14.27954554
G05,Loc01,Year4,Loc01_Year4,Blk1,13.63845497
G05,Loc01,Year4,Loc01_Year4,Blk2,11.17372172
G05,Loc01,Year4,Loc01_Year4,Blk3,15.39103965
G05,Loc01,Year5,Loc01_Year5,Blk1,11.70117577
G05,Loc01,Year5,Loc01_Year5,Blk2,12.04425466
G05,Loc01,Year5,Loc01_Year5,Blk3,15.28900939
G06,Loc01,Year1,Loc01_Year1,Blk1,18.51549628
G06,Loc01,Year1,Loc01_Year1,Blk2,16.21576384
G06,Loc01,Year1,Loc01_Year1,Blk3,17.97007292
G06,Loc01,Year2,Loc01_Year2,Blk1,14.41510477
G06,Loc01,Year2,Loc01_Year2,Blk2,16.96053252
G06,Loc01,Year2,Loc01_Year2,Blk3,15.66932489
G06,Loc01,Year3,Loc01_Year3,Blk1,13.62677666
G06,Loc01,Year3,Loc01_Year3,Blk2,13.12060689
G06,Loc01,Year3,Loc01_Year3,Blk3,14.36151985
G06,Loc01,Year4,Loc01_Year4,Blk1,12.02390724
G06,Loc01,Year4,Loc01_Year4,Blk2,14.38240317
G06,Loc01,Year4,Loc01_Year4,Blk3,11.34695788
G06,Loc01,Year5,Loc01_Year5,Blk1,11.47305214
G06,Loc01,Year5,Loc01_Year5,Blk2,9.438131252
G06,Loc01,Year5,Loc01_Year5,Blk3,9.926406176
G07,Loc01,Year1,Loc01_Year1,Blk1,13.53752832
G07,Loc01,Year1,Loc01_Year1,Blk2,13.7467689
G07,Loc01,Year1,Loc01_Year1,Blk3,16.23370769
G07,Loc01,Year2,Loc01_Year2,Blk1,11.67779882
G07,Loc01,Year2,Loc01_Year2,Blk2,14.51270598
G07,Loc01,Year2,Loc01_Year2,Blk3,15.13306808
G07,Loc01,Year3,Loc01_Year3,Blk1,13.92346287
G07,Loc01,Year3,Loc01_Year3,Blk2,11.97410162
G07,Loc01,Year3,Loc01_Year3,Blk3,13.82379567
