Geno,Env,Group,yield,env_index,mintf,radg
G001,LN96a,G_1,0.966666667,-1.8157703,15.72,18.19
G002,LN96a,G_1,0.586666667,-1.8157703,15.72,18.19
G003,LN96a,G_1,1.14,-1.8157703,15.72,18.19
G004,LN96a,G_1,0.733333333,-1.8157703,15.72,18.19
G005,LN96a,G_1,1.106666667,-1.8157703,15.72,18.19
G006,LN96a,G_1,1.673333333,-1.8157703,15.72,18.19
G007,LN96a,G_1,2.333333333,-1.8157703,15.72,18.19
G008,LN96a,G_1,1.42,-1.8157703,15.72,18.19
G009,LN96a,G_1,1.293333333,-1.8157703,15.72,18.19
G010,LN96a,G_1,1,-1.8157703,15.72,18.19
G011,LN96a,G_1,1.26,-1.8157703,15.72,18.19
G012,LN96a,G_1,1.446666667,-1.8157703,15.72,18.19
G013,LN96a,G_1,0.8,-1.8157703,15.72,18.19
G014,LN96a,G_1,1.88,-1.8157703,15.72,18.19
G015,LN96a,G_1,0.566666667,-1.8157703,15.72,18.19
G016,LN96a,G_1,0.82,-1.8157703,15.72,18.19
G017,LN96a,G_1,0.54,-1.8157703,15.72,18.19
G018,LN96a,G_1,0.926666667,-1.8157703,15.72,18.19
G019,LN96a,G_1,3.133333333,-1.8157703,15.72,18.19
G020,LN96a,G_1,1.826666667,-1.8157703,15.72,18.19
G021,LN96a,G_1,1.16,-1.8157703,15.72,18.19
G022,LN96a,G_1,1.206666667,-1.8157703,15.72,18.19
G023,LN96a,G_1,1.673333333,-1.8157703,15.72,18.19
G024,LN96a,G_1,1.3,-1.8157703,15.72,18.19
G025,LN96a,G_1,1.38,-1.8157703,15.72,18.19
G026,LN96a,G_1,1.7,-1.8157703,15.72,18.19
G027,LN96a,G_1,1.08,-1.8157703,15.72,18.19
G028,LN96a,G_1,1.12,-1.8157703,15.72,18.19
G029,LN96a,G_1,1.813333333,-1.8157703,15.72,18.19
G030,LN96a,G_1,1.506666667,-1.8157703,15.72,18.19
G031,LN96a,G_1,1.133333333,-1.8157703,15.72,18.19
G032,LN96a,G_1,2.02,-1.8157703,15.72,18.19
G033,LN96a,G_1,1.286666667,-1.8157703,15.72,18.19
G034,LN96a,G_1,1.58,-1.8157703,15.72,18.19
G035,LN96a,G_1,1.86,-1.8157703,15.72,18.19
G036,LN96a,G_1,1.433333333,-1.8157703,15.72,18.19
G037,LN96a,G_1,0.66,-1.8157703,15.72,18.19
G038,LN96a,G_1,1.08,-1.8157703,15.72,18.19
G039,LN96a,G_1,1.12,-1.8157703,15.72,18.19
G040,LN96a,G_1,0.746666667,-1.8157703,15.72,18.19
G041,LN96a,G_1,0.853333333,-1.8157703,15.72,18.19
G042,LN96a,G_1,0.68,-1.8157703,15.72,18.19
G043,LN96a,G_1,1.353333333,-1.8157703,15.72,18.19
G044,LN96a,G_1,0.826666667,-1.8157703,15.72,18.19
G045,LN96a,G_1,1.88,-1.8157703,15.72,18.19
G046,LN96a,G_1,1.193333333,-1.8157703,15.72,18.19
G047,LN96a,G_1,1.06,-1.8157703,15.72,18.19
G048,LN96a,G_1,1.16,-1.8157703,15.72,18.19
G049,LN96a,G_1,1.093333333,-1.8157703,15.72,18.19
G050,LN96a,G_1,0.986666667,-1.8157703,15.72,18.19
G051,LN96a,G_1,1.226666667,-1.8157703,15.72,18.19
G052,LN96a,G_1,1.006666667,-1.8157703,15.72,18.19
G053,LN96a,G_1,1.073333333,-1.8157703,15.72,18.19
G054,LN96a,G_1,1.486666667,-1.8157703,15.72,18.19
G055,LN96a,G_1,1.933333333,-1.8157703,15.72,18.19
G056,LN96a,G_1,1.893333333,-1.8157703,15.72,18.19
G057,LN96a,G_1,0.7,-1.8157703,15.72,18.19
G058,LN96a,G_1,1.046666667,-1.8157703,15.72,18.19
G059,LN96a,G_1,1.04,-1.8157703,15.72,18.19
G060,LN96a,G_1,1.033333333,-1.8157703,15.72,18.19
G061,LN96a,G_1,1.466666667,-1.8157703,15.72,18.19
G062,LN96a,G_1,0.786666667,-1.8157703,15.72,18.19
G063,LN96a,G_1,1.193333333,-1.8157703,15.72,18.19
G064,LN96a,G_1,1.153333333,-1.8157703,15.72,18.19
G065,LN96a,G_1,1.1,-1.8157703,15.72,18.19
G066,LN96a,G_1,1.346666667,-1.8157703,15.72,18.19
G067,LN96a,G_1,2.233333333,-1.8157703,15.72,18.19
G068,LN96a,G_1,2.206666667,-1.8157703,15.72,18.19
G069,LN96a,G_1,1.333333333,-1.8157703,15.72,18.19
G070,LN96a,G_1,0.946666667,-1.8157703,15.72,18.19
G071,LN96a,G_1,0.706666667,-1.8157703,15.72,18.19
G072,LN96a,G_1,1.973333333,-1.8157703,15.72,18.19
G073,LN96a,G_1,0.946666667,-1.8157703,15.72,18.19
G074,LN96a,G_1,0.946666667,-1.8157703,15.72,18.19
G075,LN96a,G_1,1.313333333,-1.8157703,15.72,18.19
G076,LN96a,G_1,0.62,-1.8157703,15.72,18.19
G077,LN96a,G_1,0.54,-1.8157703,15.72,18.19
G078,LN96a,G_1,0.713333333,-1.8157703,15.72,18.19
G079,LN96a,G_1,0.913333333,-1.8157703,15.72,18.19
G080,LN96a,G_1,0.913333333,-1.8157703,15.72,18.19
G081,LN96a,G_1,0.726666667,-1.8157703,15.72,18.19
G082,LN96a,G_1,0.633333333,-1.8157703,15.72,18.19
G083,LN96a,G_1,1.78,-1.8157703,15.72,18.19
G084,LN96a,G_1,1.606666667,-1.8157703,15.72,18.19
G085,LN96a,G_1,0.8,-1.8157703,15.72,18.19
G086,LN96a,G_1,1.086666667,-1.8157703,15.72,18.19
G087,LN96a,G_1,1.48,-1.8157703,15.72,18.19
G088,LN96a,G_1,1.16,-1.8157703,15.72,18.19
G089,LN96a,G_1,0.64,-1.8157703,15.72,18.19
G090,LN96a,G_1,0.933333333,-1.8157703,15.72,18.19
G091,LN96a,G_1,1.026666667,-1.8157703,15.72,18.19
G092,LN96a,G_1,0.8,-1.8157703,15.72,18.19
G093,LN96a,G_1,1.026666667,-1.8157703,15.72,18.19
